prediction;gold;sentence 
positive;negative;sadly, her discovery lead her to pay the ultimate price in their revelation.
positive;positive;see it if you haven´t.
negative;positive;i found only one problem with it.
positive;positive;liv ullman and max von sydow give painfully detailed performance in this spare, stark drama.
positive;positive;it's a horror story alright.
positive;positive;co-starring in his first american film is conrad veidt with his 'cadaverous spider' interpretation of 'louis xi'.
negative;positive;their diction is le than perfect ... stilted and affected, the fact that they are making a supreme effort, becomes more than apparent.
negative;negative;"""bambi"" wa the first (and until today the only) movie that i give 10 out of 10 stars."
negative;negative;the only thing worthwhile is colin firth, and he seems slightly embarrassed throughout.for diehard firth fan only -- the shower scene alone is worth the $3.99 you might have to shell out, should you find it in a video cutout bin like i did.i'm happy for mr. firth that his day of taking project like this one are over!
negative;positive;their chemistry is immediate and is the glue that keep this film from becoming too fragmented.suzy parker, the off-the-chart gorgeous ex-fashion model, appears a gregg adams, an aspiring stage actress, a role that, according to any biography i've ever read about her, wa apparently not much of a stretch.
positive;positive;the fun filled opening montage (sung by none other than the inimitable kishore kumar)gave a very accurate picture of what one could expect.
positive;positive;the property hassle benes endures may be useful for showing he ha a tough side.
negative;positive;laraine day is a favorite actress of mine, someone mgm loaned out constantly because they didn't know what to do with her.
negative;positive;sure, i pretended to be spiderman, batman and other superheros, but i really wanted to be johnny sakko over any of them.
